Day_0,Day_T,Time_0,Time_T,Duration,Moscow,Nizhny,Night_I,Night_A,Train,Note
14-Mar-21,14-Mar-21,17:20,20:05,165,0.00,1.00,0.00,0.00,0.00,
20-Mar-21,20-Mar-21,16:10,21:25,315,0.00,1.00,0.00,0.00,0.00,
21-Mar-21,21-Mar-21,14:05,21:00,415,0.00,1.00,0.00,0.00,0.00,
23-Mar-21,23-Mar-21,17:40,20:40,180,0.00,1.00,0.00,0.00,0.00,
26-Mar-21,26-Mar-21,14:10,17:15,185,0.00,1.00,0.00,0.00,0.00,
1-Apr-21,1-Apr-21,9:05,13:50,285,0.00,1.00,0.00,0.00,0.00,
3-Apr-21,3-Apr-21,17:55,21:25,210,0.00,1.00,0.00,0.00,0.00,
4-Apr-21,4-Apr-21,18:00,20:40,160,0.00,1.00,0.00,0.00,0.00,
8-Apr-21,8-Apr-21,18:35,20:10,95,0.00,1.00,0.00,0.00,0.00,
10-Apr-21,10-Apr-21,16:00,21:05,305,0.00,1.00,0.00,0.00,0.00,
12-Apr-21,12-Apr-21,18:25,21:00,155,0.00,1.00,0.00,0.00,0.00,
30-Apr-21,30-Apr-21,16:30,20:50,260,0.00,1.00,0.00,0.00,0.00,
4-May-21,4-May-21,16:05,20:50,285,0.00,1.00,0.00,0.00,0.00,
6-May-21,6-May-21,14:15,22:00,465,0.00,1.00,0.00,0.00,0.00,
7-May-21,7-May-21,19:20,20:45,85,0.00,1.00,0.00,0.00,0.00,
1-Jun-21,1-Jun-21,17:05,22:25,320,0.00,1.00,0.00,0.00,0.00,
2-Jun-21,2-Jun-21,16:40,22:30,350,0.00,1.00,0.00,0.00,0.00,
4-Jun-21,4-Jun-21,20:15,22:20,125,0.00,1.00,0.00,0.00,0.00,
5-Jun-21,5-Jun-21,13:00,20:35,455,0.00,1.00,0.00,0.00,0.00,
7-Jun-21,7-Jun-21,18:25,22:10,225,0.00,1.00,0.00,0.00,0.00,
9-Jun-21,9-Jun-21,18:20,22:35,255,0.00,1.00,0.00,0.00,0.00,
11-Jun-21,11-Jun-21,18:30,23:20,290,0.00,1.00,0.00,0.00,0.00,
12-Jun-21,12-Jun-21,19:45,22:05,140,0.00,1.00,0.00,0.00,0.00,
13-Jun-21,13-Jun-21,19:15,22:40,205,0.00,1.00,0.00,0.00,0.00,
14-Jun-21,14-Jun-21,18:50,22:40,230,0.00,1.00,0.00,0.00,0.00,
15-Jun-21,15-Jun-21,21:00,22:00,60,0.00,1.00,0.00,0.00,0.00,
18-Jun-21,18-Jun-21,19:05,22:15,190,0.00,1.00,0.00,0.00,0.00,
21-Jun-21,21-Jun-21,17:05,22:40,335,0.00,1.00,0.00,0.00,0.00,
24-Jun-21,24-Jun-21,19:15,22:45,210,0.00,1.00,0.00,0.00,0.00,
25-Jun-21,25-Jun-21,19:35,23:00,205,0.00,1.00,0.00,0.00,0.00,
28-Jun-21,28-Jun-21,18:30,22:15,225,0.00,1.00,0.00,0.00,0.00,
30-Jun-21,30-Jun-21,17:55,23:20,325,0.00,1.00,0.00,0.00,0.00,
2-Jul-21,2-Jul-21,15:50,22:25,395,0.00,1.00,0.00,0.00,0.00,
3-Jul-21,3-Jul-21,18:35,23:00,265,0.00,1.00,0.00,0.00,0.00,
5-Jul-21,5-Jul-21,17:40,22:25,285,0.00,1.00,0.00,0.00,0.00,
8-Jul-21,8-Jul-21,13:25,22:50,565,0.00,1.00,0.00,0.00,0.00,
11-Jul-21,11-Jul-21,13:35,22:00,505,0.00,1.00,0.00,0.00,0.00,
13-Jul-21,13-Jul-21,17:30,21:45,255,0.00,1.00,0.00,0.00,0.00,
16-Jul-21,16-Jul-21,17:45,22:05,260,0.00,1.00,0.00,0.00,0.00,
17-Jul-21,17-Jul-21,12:45,20:50,485,0.00,1.00,0.00,0.00,0.00,
19-Jul-21,19-Jul-21,18:30,22:45,255,0.00,1.00,0.00,0.00,0.00,
21-Jul-21,21-Jul-21,12:25,21:10,525,0.00,1.00,0.00,0.00,0.00,
23-Jul-21,23-Jul-21,16:30,22:05,335,0.00,1.00,0.00,0.00,0.00,
26-Jul-21,26-Jul-21,15:10,21:20,370,0.00,1.00,0.00,0.00,0.00,
27-Jul-21,27-Jul-21,17:20,21:30,250,0.00,1.00,0.00,0.00,0.00,
29-Jul-21,29-Jul-21,18:05,21:30,205,0.00,1.00,0.00,0.00,0.00,
30-Jul-21,30-Jul-21,22:05,22:35,30,0.00,1.00,0.00,0.00,0.00,
10-Aug-21,10-Aug-21,14:30,19:55,325,0.00,1.00,0.00,0.00,0.00,
12-Aug-21,12-Aug-21,15:30,18:40,190,0.00,1.00,0.00,0.00,0.00,
14-Aug-21,14-Aug-21,14:45,21:00,375,0.00,1.00,0.00,0.00,0.00,
16-Aug-21,16-Aug-21,15:45,20:50,305,0.00,1.00,0.00,0.00,0.00,
19-Aug-21,19-Aug-21,16:25,21:10,285,0.00,1.00,0.00,0.00,0.00,
21-Aug-21,22-Aug-21,14:05,1:25,680,0.00,1.00,0.00,0.00,0.00,
23-Aug-21,23-Aug-21,16:15,22:00,345,0.00,1.00,0.00,0.00,0.00,
25-Aug-21,25-Aug-21,13:50,21:40,470,0.00,1.00,0.00,0.00,0.00,
27-Aug-21,27-Aug-21,18:20,21:15,175,0.00,1.00,0.00,0.00,0.00,
28-Aug-21,28-Aug-21,15:45,17:45,120,0.00,1.00,0.00,0.00,0.00,
30-Aug-21,30-Aug-21,16:40,20:55,255,0.00,1.00,0.00,0.00,0.00,
31-Aug-21,31-Aug-21,15:50,19:45,235,0.00,1.00,0.00,0.00,0.00,
1-Sep-21,1-Sep-21,12:20,16:20,240,0.00,1.00,0.00,0.00,0.00,
2-Sep-21,2-Sep-21,11:15,13:35,140,0.00,1.00,0.00,0.00,0.00,
7-Sep-21,7-Sep-21,12:05,13:00,55,0.00,1.00,0.00,0.00,0.00,
8-Sep-21,8-Sep-21,18:15,19:45,90,0.00,1.00,0.00,0.00,0.00,
9-Sep-21,9-Sep-21,8:50,13:35,285,0.00,1.00,0.00,0.00,0.00,
23-Sep-21,23-Sep-21,18:15,21:00,165,0.00,1.00,0.00,0.00,0.00,
25-Sep-21,25-Sep-21,16:05,21:30,325,0.00,1.00,0.00,0.00,0.00,
26-Sep-21,26-Sep-21,15:00,22:20,440,0.00,1.00,0.00,0.00,0.00,
29-Sep-21,29-Sep-21,18:15,21:30,195,0.00,1.00,0.00,0.00,0.00,
30-Sep-21,30-Sep-21,9:25,13:20,235,0.00,1.00,0.00,0.00,0.00,
1-Oct-21,1-Oct-21,19:20,22:15,175,0.00,1.00,0.00,0.00,0.00,
2-Oct-21,2-Oct-21,16:30,22:10,340,0.00,1.00,0.00,0.00,0.00,
3-Oct-21,3-Oct-21,14:40,20:45,365,0.00,1.00,0.00,0.00,0.00,
4-Oct-21,4-Oct-21,14:50,18:05,195,0.00,1.00,0.00,0.00,0.00,
6-Oct-21,6-Oct-21,16:45,21:35,290,0.00,1.00,0.00,0.00,0.00,
8-Oct-21,9-Oct-21,21:50,11:20,810,0.00,1.00,0.00,1.00,0.00,
9-Oct-21,10-Oct-21,18:30,12:40,1090,0.00,1.00,0.00,1.00,0.00,
16-Oct-21,16-Oct-21,16:55,21:00,245,0.00,1.00,0.00,0.00,0.00,
18-Oct-21,18-Oct-21,15:20,18:15,175,0.00,1.00,0.00,0.00,0.00,
23-Oct-21,23-Oct-21,9:40,16:15,395,0.00,1.00,0.00,0.00,0.00,
27-Oct-21,27-Oct-21,16:10,21:00,290,0.00,1.00,0.00,0.00,0.00,
30-Oct-21,30-Oct-21,11:50,20:10,500,0.00,1.00,0.00,0.00,0.00,
30-Oct-21,31-Oct-21,22:30,14:25,955,0.00,1.00,1.00,0.00,0.00,
3-Nov-21,3-Nov-21,15:35,22:00,385,0.00,1.00,0.00,0.00,0.00,
5-Nov-21,5-Nov-21,15:00,21:30,390,0.00,1.00,0.00,0.00,0.00,
13-Nov-21,13-Nov-21,16:00,19:50,230,0.00,1.00,0.00,0.00,0.00,
18-Nov-21,18-Nov-21,18:20,21:15,175,0.00,1.00,0.00,0.00,0.00,
20-Nov-21,20-Nov-21,15:10,21:25,375,0.00,1.00,0.00,0.00,0.00,
23-Nov-21,23-Nov-21,17:05,20:45,220,0.00,1.00,0.00,0.00,0.00,
26-Nov-21,26-Nov-21,18:50,22:05,195,0.00,1.00,0.00,0.00,0.00,
28-Nov-21,28-Nov-21,15:35,20:30,295,0.00,1.00,0.00,0.00,0.00,
4-Dec-21,4-Dec-21,16:00,21:30,330,0.00,1.00,0.00,0.00,0.00,
9-Dec-21,9-Dec-21,10:25,14:00,215,0.00,1.00,0.00,0.00,0.00,
10-Dec-21,10-Dec-21,18:30,23:00,270,0.00,1.00,0.00,0.00,0.00,
15-Dec-21,15-Dec-21,11:30,20:10,520,0.00,1.00,0.00,0.00,0.00,
21-Dec-21,21-Dec-21,9:15,13:15,240,0.00,1.00,0.00,0.00,0.00,
25-Dec-21,25-Dec-21,14:15,21:40,445,0.00,1.00,0.00,0.00,0.00,
1-Jan-22,1-Jan-22,1:25,7:45,380,0.00,1.00,1.00,0.00,0.00,
6-Jan-22,6-Jan-22,13:25,21:00,455,0.00,1.00,0.00,0.00,0.00,
28-Jan-22,28-Jan-22,17:45,21:20,215,0.00,1.00,0.00,0.00,2.00,
29-Jan-22,29-Jan-22,16:50,21:40,290,0.00,1.00,0.00,0.00,0.00,
31-Jan-22,31-Jan-22,17:25,22:00,275,0.00,1.00,0.00,0.00,0.00,
3-Feb-22,3-Feb-22,19:40,21:40,120,0.00,1.00,0.00,0.00,0.00,
6-Feb-22,6-Feb-22,6:50,9:40,170,0.00,1.00,0.00,0.00,1.00,
13-Feb-22,13-Feb-22,16:10,22:10,360,0.00,1.00,0.00,0.00,0.00,
14-Feb-22,14-Feb-22,16:20,19:30,190,0.00,1.00,0.00,0.00,0.00,
17-Feb-22,17-Feb-22,17:05,20:50,225,0.00,1.00,0.00,0.00,0.00,
22-Feb-22,22-Feb-22,15:05,18:00,175,0.00,1.00,0.00,0.00,0.00,
23-Feb-22,23-Feb-22,13:00,20:30,450,0.00,1.00,0.00,0.00,0.00,
26-Feb-22,27-Feb-22,18:10,13:50,1180,0.00,1.00,1.00,0.00,0.00,
3-Mar-22,3-Mar-22,17:15,21:40,265,0.00,1.00,0.00,0.00,0.00,
8-Mar-22,8-Mar-22,14:50,20:50,360,0.00,1.00,0.00,0.00,0.00,
12-Mar-22,12-Mar-22,16:45,21:30,285,0.00,1.00,0.00,0.00,0.00,
13-Mar-22,13-Mar-22,18:00,20:05,125,0.00,1.00,0.00,0.00,0.00,
17-Mar-22,17-Mar-22,17:05,21:20,255,0.00,1.00,0.00,0.00,0.00,
18-Mar-22,18-Mar-22,16:40,21:30,290,0.00,1.00,0.00,0.00,0.00,
19-Mar-22,19-Mar-22,16:30,21:30,300,0.00,1.00,0.00,0.00,0.00,
21-Mar-22,21-Mar-22,18:00,21:15,195,0.00,1.00,0.00,0.00,0.00,
24-Mar-22,24-Mar-22,10:25,18:50,505,0.00,1.00,0.00,0.00,0.00,
26-Mar-22,26-Mar-22,9:00,9:40,40,0.00,1.00,0.00,0.00,1.00,
31-Mar-22,31-Mar-22,17:45,21:25,220,0.00,1.00,0.00,0.00,2.00,
2-Apr-22,2-Apr-22,18:25,21:55,210,0.00,1.00,0.00,0.00,0.00,
6-Apr-22,6-Apr-22,9:35,13:05,210,0.00,1.00,0.00,0.00,0.00,
7-Apr-22,7-Apr-22,11:40,18:30,410,0.00,1.00,0.00,0.00,0.00,
12-Apr-22,12-Apr-22,18:25,21:55,210,0.00,1.00,0.00,0.00,0.00,
15-Apr-22,15-Apr-22,14:55,20:50,355,0.00,1.00,0.00,0.00,0.00,
20-Apr-22,20-Apr-22,18:30,20:55,205,0.00,1.00,0.00,0.00,0.00,
21-Apr-22,21-Apr-22,14:20,21:50,450,0.00,1.00,0.00,0.00,0.00,
26-Apr-22,26-Apr-22,19:10,21:45,155,0.00,1.00,0.00,0.00,0.00,
28-Apr-22,28-Apr-22,19:30,21:55,145,0.00,1.00,0.00,0.00,0.00,
29-Apr-22,29-Apr-22,15:25,22:40,435,0.00,1.00,0.00,0.00,0.00,
30-Apr-22,30-Apr-22,16:15,22:00,345,0.00,1.00,0.00,0.00,0.00,
3-May-22,4-May-22,17:55,14:10,1215,0.00,1.00,1.00,0.00,0.00,
9-May-22,9-May-22,15:20,20:30,310,0.00,1.00,0.00,0.00,0.00,
14-May-22,14-May-22,14:35,20:35,360,0.00,1.00,0.00,0.00,0.00,
18-May-22,18-May-22,19:10,22:15,185,0.00,1.00,0.00,0.00,0.00,
27-May-22,27-May-22,17:10,21:25,255,0.00,1.00,0.00,0.00,0.00,
28-May-22,29-May-22,15:35,13:00,1285,0.00,1.00,1.00,0.00,0.00,
1-Jun-22,1-Jun-22,13:30,18:35,305,0.00,1.00,0.00,0.00,0.00,
5-Jun-22,5-Jun-22,16:05,20:35,270,0.00,1.00,0.00,0.00,0.00,
8-Jun-22,8-Jun-22,12:45,16:15,210,0.00,1.00,0.00,0.00,0.00,
9-Jun-22,9-Jun-22,12:50,21:30,520,0.00,1.00,0.00,0.00,0.00,
12-Jun-22,12-Jun-22,12:05,18:05,360,0.00,1.00,0.00,0.00,0.00,
14-Jun-22,14-Jun-22,13:50,20:50,420,0.00,1.00,0.00,0.00,0.00,
17-Jun-22,17-Jun-22,17:10,21:15,245,0.00,1.00,0.00,0.00,0.00,
18-Jun-22,18-Jun-22,16:20,21:00,280,0.00,1.00,0.00,0.00,0.00,
21-Jun-22,21-Jun-22,16:00,20:05,245,0.00,1.00,0.00,0.00,0.00,
25-Jun-22,25-Jun-22,15:20,22:00,400,0.00,1.00,0.00,0.00,0.00,
28-Jun-22,29-Jun-22,18:15,16:30,1335,0.00,1.00,1.00,0.00,0.00,
6-Jul-22,6-Jul-22,13:10,19:40,390,1.00,0.00,0.00,0.00,0.00,
8-Jul-22,8-Jul-22,11:55,20:20,505,1.00,0.00,0.00,0.00,0.00,
